
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8152922124406197, 'b': 0.49700799796671224, 'c': 0.3189537267519154, 'd': 0.2544782124059372, 'e': 0.4044445593002648, 'f': 0.14187745695366097, 'g': 0.7953199173421122, 'h': 0.05684119027649272, 'i': 0.8833432037044986, 'norm': True} - results: ROC_AUC: 0.2005148, PRECISION: 0.0440431, PRECISION_RECALL_MIN_DEN: 0.1570772, RECALL: 0.1524326, MAP: 0.0729800, MRR: 0.1493866, NDCG: 0.1091470, F1: 0.0683390, HIT_RATE: 0.4404312, ARHR: 0.1749465, NOVELTY: 0.0049326, AVERAGE_POPULARITY: 0.0846457, DIVERSITY_MEAN_INTER_LIST: 0.9913980, DIVERSITY_HERFINDAHL: 0.9991223, COVERAGE_ITEM: 0.4931049, COVERAGE_ITEM_CORRECT: 0.0586872, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250409, DIVERSITY_GINI: 0.1795113, SHANNON_ENTROPY: 12.0566636, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.5050354085890859, 'b': 0.8012831035704691, 'c': 0.4749114974795168, 'd': 0.5195134834132847, 'e': 0.03854888649331246, 'f': 0.5022675572712981, 'g': 0.8977266489663401, 'h': 0.6133788414333837, 'i': 0.09860469554638554, 'norm': False} - results: ROC_AUC: 0.2007600, PRECISION: 0.0439400, PRECISION_RECALL_MIN_DEN: 0.1566843, RECALL: 0.1520498, MAP: 0.0729818, MRR: 0.1497592, NDCG: 0.1091357, F1: 0.0681759, HIT_RATE: 0.4393997, ARHR: 0.1751636, NOVELTY: 0.0049208, AVERAGE_POPULARITY: 0.0906877, DIVERSITY_MEAN_INTER_LIST: 0.9896027, DIVERSITY_HERFINDAHL: 0.9989428, COVERAGE_ITEM: 0.4955072, COVERAGE_ITEM_CORRECT: 0.0571473, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2249151, DIVERSITY_GINI: 0.1781867, SHANNON_ENTROPY: 11.9614424, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.7473939752505431, 'b': 0.9610078551583122, 'c': 0.6527704316312098, 'd': 0.09207890193629077, 'e': 0.899402935795547, 'f': 0.5627092298871542, 'g': 0.5229449563350581, 'h': 0.29334542420718795, 'i': 0.6225047241806422, 'norm': False} - results: ROC_AUC: 0.2025130, PRECISION: 0.0442263, PRECISION_RECALL_MIN_DEN: 0.1591490, RECALL: 0.1545271, MAP: 0.0737116, MRR: 0.1505642, NDCG: 0.1102728, F1: 0.0687688, HIT_RATE: 0.4422630, ARHR: 0.1761324, NOVELTY: 0.0049349, AVERAGE_POPULARITY: 0.0845555, DIVERSITY_MEAN_INTER_LIST: 0.9911916, DIVERSITY_HERFINDAHL: 0.9991016, COVERAGE_ITEM: 0.5002194, COVERAGE_ITEM_CORRECT: 0.0590337, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2269032, DIVERSITY_GINI: 0.1838792, SHANNON_ENTROPY: 12.0755238, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.681746382721604, 'b': 0.7326454712489053, 'c': 0.11953855568871044, 'd': 0.8809928966901039, 'e': 0.17935683645069259, 'f': 0.781229879753764, 'g': 0.38899781556177215, 'h': 0.08617680468450485, 'i': 0.765492400682946, 'norm': False} - results: ROC_AUC: 0.2010015, PRECISION: 0.0440108, PRECISION_RECALL_MIN_DEN: 0.1571158, RECALL: 0.1524342, MAP: 0.0729600, MRR: 0.1494122, NDCG: 0.1091164, F1: 0.0683001, HIT_RATE: 0.4401084, ARHR: 0.1748534, NOVELTY: 0.0049375, AVERAGE_POPULARITY: 0.0842982, DIVERSITY_MEAN_INTER_LIST: 0.9914121, DIVERSITY_HERFINDAHL: 0.9991237, COVERAGE_ITEM: 0.4929355, COVERAGE_ITEM_CORRECT: 0.0585332, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2253429, DIVERSITY_GINI: 0.1791655, SHANNON_ENTROPY: 12.0535208, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.29272602726576974, 'b': 0.6495981387388086, 'c': 0.15819676965527743, 'd': 0.5158051430773789, 'e': 0.851854327304839, 'f': 0.7979472688857283, 'g': 0.7292879351809229, 'h': 0.6350028996698989, 'i': 0.6295964329552016, 'norm': True} - results: ROC_AUC: 0.1967012, PRECISION: 0.0428870, PRECISION_RECALL_MIN_DEN: 0.1513432, RECALL: 0.1467518, MAP: 0.0708114, MRR: 0.1469536, NDCG: 0.1059793, F1: 0.0663747, HIT_RATE: 0.4288696, ARHR: 0.1715121, NOVELTY: 0.0048515, AVERAGE_POPULARITY: 0.1015776, DIVERSITY_MEAN_INTER_LIST: 0.9872441, DIVERSITY_HERFINDAHL: 0.9987070, COVERAGE_ITEM: 0.4572936, COVERAGE_ITEM_CORRECT: 0.0530279, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2199320, DIVERSITY_GINI: 0.1504204, SHANNON_ENTROPY: 11.6467379, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9541634939948236, 'b': 0.8294872216841839, 'c': 0.5675525037038646, 'd': 0.5107901884563953, 'e': 0.703709907488307, 'f': 0.11634412713409994, 'g': 0.2657548601119229, 'h': 0.12785689178701756, 'i': 0.26635899550557435, 'norm': False} - results: ROC_AUC: 0.1913723, PRECISION: 0.0418618, PRECISION_RECALL_MIN_DEN: 0.1511695, RECALL: 0.1467777, MAP: 0.0693599, MRR: 0.1415356, NDCG: 0.1041654, F1: 0.0651422, HIT_RATE: 0.4186183, ARHR: 0.1650548, NOVELTY: 0.0050285, AVERAGE_POPULARITY: 0.0661438, DIVERSITY_MEAN_INTER_LIST: 0.9943387, DIVERSITY_HERFINDAHL: 0.9994163, COVERAGE_ITEM: 0.5358922, COVERAGE_ITEM_CORRECT: 0.0594033, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2160564, DIVERSITY_GINI: 0.2184994, SHANNON_ENTROPY: 12.4717330, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.11060740264146676, 'b': 0.6455322971855505, 'c': 0.5619250428227589, 'd': 0.5064886220365237, 'e': 0.21998914440630984, 'f': 0.010038690253208362, 'g': 0.48814308670871887, 'h': 0.1651193590158994, 'i': 0.3586535555288855, 'norm': False} - results: ROC_AUC: 0.2026366, PRECISION: 0.0443781, PRECISION_RECALL_MIN_DEN: 0.1581222, RECALL: 0.1534638, MAP: 0.0736259, MRR: 0.1515110, NDCG: 0.1102149, F1: 0.0688447, HIT_RATE: 0.4437814, ARHR: 0.1770169, NOVELTY: 0.0049075, AVERAGE_POPULARITY: 0.0893424, DIVERSITY_MEAN_INTER_LIST: 0.9902342, DIVERSITY_HERFINDAHL: 0.9990059, COVERAGE_ITEM: 0.4814244, COVERAGE_ITEM_CORRECT: 0.0578171, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2273059, DIVERSITY_GINI: 0.1692160, SHANNON_ENTROPY: 11.9222729, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.5936013408825535, 'b': 0.4802462033318208, 'c': 0.4506129364684972, 'd': 0.26312949279103365, 'e': 0.9719834282576381, 'f': 0.7275790958299001, 'g': 0.7040181965352876, 'h': 0.06366938364803144, 'i': 0.9277356574366403, 'norm': True} - results: ROC_AUC: 0.1996416, PRECISION: 0.0438493, PRECISION_RECALL_MIN_DEN: 0.1551933, RECALL: 0.1504858, MAP: 0.0724882, MRR: 0.1495443, NDCG: 0.1083800, F1: 0.0679098, HIT_RATE: 0.4384927, ARHR: 0.1748932, NOVELTY: 0.0048758, AVERAGE_POPULARITY: 0.0951271, DIVERSITY_MEAN_INTER_LIST: 0.9890389, DIVERSITY_HERFINDAHL: 0.9988864, COVERAGE_ITEM: 0.4642849, COVERAGE_ITEM_CORRECT: 0.0557382, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2239336, DIVERSITY_GINI: 0.1571389, SHANNON_ENTROPY: 11.7796132, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.701927718003973, 'b': 0.403022439779146, 'c': 0.0938290886923984, 'd': 0.45171051768508774, 'e': 0.6028742857757766, 'f': 0.22398348125698692, 'g': 0.794229717094578, 'h': 0.8871379179094507, 'i': 0.723804637648732, 'norm': True} - results: ROC_AUC: 0.1989107, PRECISION: 0.0434523, PRECISION_RECALL_MIN_DEN: 0.1536633, RECALL: 0.1490015, MAP: 0.0719654, MRR: 0.1483621, NDCG: 0.1074959, F1: 0.0672823, HIT_RATE: 0.4345228, ARHR: 0.1733363, NOVELTY: 0.0048765, AVERAGE_POPULARITY: 0.0976538, DIVERSITY_MEAN_INTER_LIST: 0.9882955, DIVERSITY_HERFINDAHL: 0.9988121, COVERAGE_ITEM: 0.4712454, COVERAGE_ITEM_CORRECT: 0.0546449, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2226752, DIVERSITY_GINI: 0.1605106, SHANNON_ENTROPY: 11.7743717, 
